"","ecoregion","X","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3.x","Level3.y"
"79","Central Irregular Plains",78,7423,"Southeastern_Great_Plains_Tallgrass_Prairie",29774.5065,"Southeastern Great Plains Tallgrass Prairie",722974,"CES205.685",7136,108029.6757,0.2756,"9.2.4","9.2.4"
"80","Central Irregular Plains",79,7421,"Central_Tallgrass_Prairie",33288.2055,"Central Tallgrass Prairie",722976,"CES205.683",7134,241651.1556,0.1378,"9.2.4","9.2.4"
"81","Chihuahuan Desert",82,7051,"Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",4.9248,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,3e-04,"10.2.4","10.2.4"
"82","Chihuahuan Desert",81,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",37.7217,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.001,"10.2.4","10.2.4"
"83","Chihuahuan Desert",86,7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",37.9728,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,4e-04,"10.2.4","10.2.4"
"84","Chihuahuan Desert",83,7146,"Southern_Rocky_Mountain_Montane_Subalpine_Grassland",3.8232,"Southern Rocky Mountain Montane Subalpine Grassland",722849,"CES306.824",7119,3086.9586,0.0012,"10.2.4","10.2.4"
"85","Chihuahuan Desert",84,7107,"Rocky_Mountain_Gambel_Oak_Mixed_Montane_Shrubland",0.3888,"Rocky Mountain Gambel Oak Mixed Montane Shrubland",722855,"CES306.818",5313,19905.7419,0,"10.2.4","10.2.4"
"86","Chihuahuan Desert",85,7149,"Western_Great_Plains_Shortgrass_Prairie",365.8041,"Western Great Plains Shortgrass Prairie",722986,"CES303.672",7122,259073.154,0.0014,"10.2.4","10.2.4"
"87","Chihuahuan Desert",87,7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",24.4134,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,1e-04,"10.2.4","10.2.4"
"88","Colorado Plateaus",90,7054,"Southern_Rocky_Mountain_Ponderosa_Pine_Woodland",2373.0003,"Southern Rocky Mountain Ponderosa Pine Woodland",797980,"CES306.648",4241,38899.4481,0.061,"10.1.6","10.1.6"
"89","Colorado Plateaus",88,7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",699.4107,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0.025,"10.1.6","10.1.6"
