"","NS.Map.Value.code","X","ecoregion","system_name.x","SqKM_system_ecoregion","type.x","ELEMENT_GLOBAL_ID.x","ELCODE.x","ELSF_CD.x","BPS_area_system_sq_KM.x","percent_of_Total_Distribution","Level3","system_name.y","type.y","ELEMENT_GLOBAL_ID.y","ELCODE.y","ELSF_CD.y","BPS_area_system_sq_KM.y"
"31",7051,309,"Southern Rockies","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",9283.9446,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.5995,"6.2.14","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"32",7051,145,"High Plains","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",17.6175,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0011,"9.4.1","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"33",7051,356,"Wyoming Basin","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",25.0047,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0016,"10.1.4","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"34",7051,82,"Chihuahuan Desert","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",4.9248,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,3e-04,"10.2.4","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"35",7051,196,"Middle Rockies","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",1.4904,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,1e-04,"6.2.10","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"36",7051,27,"Arizona/New Mexico Plateau","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",86.5485,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0056,"10.1.7","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"37",7051,92,"Colorado Plateaus","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",2269.5795,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.1465,"10.1.6","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"38",7051,333,"Wasatch and Uinta Mountains","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",1148.58,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0742,"6.2.13","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"39",7051,64,"Central Basin and Range","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",33.939,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0.0022,"10.1.5","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
"40",7051,284,"Snake River Plain","Southern_Rocky_Mountain_Dry_Mesic_Montane_Mixed_Conifer_Forest_and_Woodland",0.0486,"Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894,0,"10.1.8","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Southern Rocky Mountain Dry Mesic Montane Mixed Conifer Forest and Woodland",722850,"CES306.823",4238,15486.9894
