"","ecoregion","NS.Map.Value.code","system_name","SqKM_system_ecoregion","type","ELEMENT_GLOBAL_ID","ELCODE","ELSF_CD","BPS_area_system_sq_KM","percent_of_Total_Distribution","Level3"
"102","Columbia Mountains/Northern Rockies",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",1014.4926,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.0036,"6.2.3"
"103","Columbia Mountains/Northern Rockies",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",0.4698,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,0,"6.2.3"
"104","Columbia Mountains/Northern Rockies",7125,"Inter_Mountain_Basins_Big_Sagebrush_Steppe",874.9701,"Inter Mountain Basins Big Sagebrush Steppe",722894,"CES304.778",5454,181241.4852,0.0048,"6.2.3"
"105","Columbia Mountains/Northern Rockies",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",0.0081,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,0,"6.2.3"
"106","Columbia Mountains/Northern Rockies",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",328.3497,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0038,"6.2.3"
"107","Columbia Plateau",7061,"Inter_Mountain_Basins_Aspen_Mixed_Conifer_Forest_and_Woodland",2.9403,"Inter Mountain Basins Aspen Mixed Conifer Forest and Woodland",722896,"CES304.776",4302,27965.5092,1e-04,"10.1.2"
"108","Columbia Plateau",7126,"Inter_Mountain_Basins_Montane_Sagebrush_Steppe",1773.0009,"Inter Mountain Basins Montane Sagebrush Steppe",722887,"CES304.785",5455,85442.3397,0.0208,"10.1.2"
"109","Columbia Plateau",7080,"Inter_Mountain_Basins_Big_Sagebrush_Shrubland",18080.7633,"Inter Mountain Basins Big Sagebrush Shrubland",722895,"CES304.777",5257,282536.1486,0.064,"10.1.2"
"110","Columbia Plateau",7081,"Inter_Mountain_Basins_Mixed_Salt_Desert_Scrub",17.0586,"Inter Mountain Basins Mixed Salt Desert Scrub",722888,"CES304.784",5258,96871.1967,2e-04,"10.1.2"
"111","Columbia Plateau",7079,"Great_Basin_Xeric_Mixed_Sagebrush_Shrubland",0.2025,"Great Basin Xeric Mixed Sagebrush Shrubland",722898,"CES304.774",5256,62531.1171,0,"10.1.2"
