ELEMENT_GLOBAL_ID,ELCODE,ESLF_CD,INACTIVE_IND,STATUS,GLOBAL_NAME,OTHER_NAME,CLASSIF_RESP,STAKEHOLDERS,WEST_LEGEND_IND,EAST_LEGEND_IND,ESLF_CD,BPS_CD,EVT_CD,LAND_COVER,CULTIVATED,SPARSE_VEGETATION,UPLAND,WETLAND,SPATIAL_PATTERN,ESLF_Pixel_Ct_30m,ESLF_SqKm_Calc_30m
817693,CES204.152,5332,N,1,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,,West,West,Y,N,5332,1652,2652,Shrubland,N,N,Y,N,Matrix,,
820179,CES204.316,5280,N,1,Alaskan Pacific Maritime Subalpine Copperbush Shrubland,,West,West,Y,N,5280,1672,2672,Shrubland,N,N,Y,N,Small patch,,
817489,CES204.143,4299,N,1,Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,,West,"Canada, West",Y,N,4299,1649,2649,Forest and Woodland,N,N,Y,N,"Matrix, Small patch",,
722834,CES204.840,4276,N,1,Alaskan Pacific Maritime Western Hemlock Forest,,West,"Canada, West",Y,N,4276,1646,2646,Forest and Woodland,N,N,Y,N,Matrix,,
817711,CES204.157,9371,N,1,Alaskan Pacific Maritime Wet Low Shrubland,,West,West,Y,N,9371,1660,2660,Woody Wetland,N,N,N,Y,Small patch,,
818566,CES105.233,7172,N,1,Aleutian American Dunegrass Grassland,,West,West,Y,N,7172,1671,2671,Herbaceous,N,N,Y,N,"Large patch, Small patch",,
818556,CES105.230,5469,N,1,Aleutian Crowberry-Herbaceous Heath,,West,West,Y,N,5469,1719,2719,Steppe/Savanna,N,N,Y,N,"Large patch, Matrix",,
818600,CES105.295,9372,N,1,Aleutian Floodplain Forest and Shrubland,,West,West,Y,N,9372,1728,2728,Woody Wetland,N,N,N,Y,"Linear, Large patch",,
818603,CES105.296,9373,N,1,Aleutian Floodplain Wetland,,West,West,Y,N,9373,1729,2729,Woody Wetland,N,N,N,Y,"Linear, Small patch",,
818569,CES105.234,9428,N,1,Aleutian Freshwater Aquatic Bed,,West,West,Y,N,9428,1721,2721,Herbaceous Wetland,N,N,N,Y,Small patch,,
818572,CES105.235,9429,N,1,Aleutian Freshwater Marsh,,West,West,Y,N,9429,1722,2722,Herbaceous Wetland,N,N,N,Y,Small patch,,
818537,CES105.146,4161,N,1,Aleutian Kenai Birch-Cottonwood-Poplar Forest,,West,West,Y,N,4161,1642,2642,Forest and Woodland,N,N,Y,N,"Large patch, Small patch",,
818590,CES105.239,7173,N,1,Aleutian Marine Beach and Beach Meadow,,West,West,Y,N,7173,1725,2725,Herbaceous,N,N,Y,N,"Linear, Small patch",,
818540,CES105.147,5333,N,1,Aleutian Mesic Alder-Salmonberry Shrubland,,West,West,Y,N,5333,1718,2718,Shrubland,N,N,Y,N,"Large patch, Matrix",,
818562,CES105.232,7174,N,1,Aleutian Mesic Herbaceous Meadow,,West,West,Y,N,7174,1651,2651,Herbaceous,N,N,Y,N,"Large patch, Matrix, Small patch",,
818543,CES105.148,5278,N,1,Aleutian Mesic-Wet Willow Shrubland,,West,West,Y,N,5278,1640,2640,Shrubland,N,N,Y,N,Small patch,,
818559,CES105.231,5470,N,1,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,,West,West,Y,N,5470,1720,2720,Steppe/Savanna,N,N,Y,N,Large patch,,
818578,CES105.237,9430,N,1,Aleutian Nonvascular Peatland,,West,West,Y,N,9430,1724,2724,Herbaceous Wetland,N,N,N,Y,Small patch,,
818546,CES105.229,5279,N,1,Aleutian Oval-leaf Blueberry Shrubland,,West,West,Y,N,5279,1731,2731,Shrubland,N,N,Y,N,"Large patch, Small patch",,
818606,CES105.305,3200,N,1,Aleutian Rocky Headland and Sea Cliff,,West,West,Y,N,3200,1716,2716,Barren,N,Y,Y,N,"Small patch, Large patch",,
818597,CES105.283,9374,N,1,Aleutian Shrub and Herbaceous Meadow Floodplain,,West,West,Y,N,9374,1727,2727,Woody Wetland,N,N,N,Y,"Linear, Large patch",,
818582,CES105.238,9375,N,1,Aleutian Shrub-Sedge Peatland,,West,West,Y,N,9375,1647,2647,Woody Wetland,N,N,N,Y,"Large patch, Small patch",,
818607,CES105.307,5108,N,1,Aleutian Sparse Heath and Fell-Field,,West,West,Y,N,5108,1730,2730,Shrubland,N,N,Y,N,"Matrix, Large patch",,
818594,CES105.279,9431,N,1,Aleutian Tidal Marsh,,West,West,Y,N,9431,1726,2726,Herbaceous Wetland,N,N,N,Y,Small patch,,
818612,CES105.308,3201,N,1,Aleutian Volcanic Rock and Talus,,West,West,Y,N,3201,1732,2732,Barren,N,N,Y,N,Matrix,,
818575,CES105.236,9432,N,1,Aleutian Wet Meadow and Herbaceous Peatland,,West,West,Y,N,9432,1723,2723,Herbaceous Wetland,N,N,N,Y,Small patch,,
723154,CES202.359,4123,N,1,Allegheny-Cumberland Dry Oak Forest and Woodland,,Southeast,"East, Midwest, Southeast",N,Y,4123,1317,2317,Forest and Woodland,N,N,Y,N,Large patch,44129567,39716.61
723161,CES202.349,3191,Y,1,Allegheny-Cumberland Sandstone Box Canyon and Rockhouse,,Southeast,"East, Midwest, Southeast",N,N,3191,,,Barren,N,N,Y,N,Large patch,,
