CEC_OID,Level1,Level2,Level3,Ecoreg_Name,Ecoreg_Short_Name
152,13,13.2,13.2.1,"Sierra Madre Occidental with Conifer, Oak, and Mixed Forests",Sierra Madre Occidental
153,13,13.3,13.3.1,"Sierra Madre Oriental with Conifer, Oak, and Mixed Forests",Sierra Madre Oriental
154,13,13.4,13.4.1,Interior Plains and Piedmonts with Grasslands and Xeric Shrub,Interior Plains & Piedmonts (Mexico)
155,13,13.4,13.4.2,"Hills and Sierras with Conifer, Oak, and Mixed Forests","Hills & Sierras with Conifer, Oak, & Mixed Forests"
156,13,13.5,13.5.1,"Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests",Sierras of Jalisco & Michoacan
157,13,13.5,13.5.2,"Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests",Sierras of Guerrero & Oaxaca
158,13,13.6,13.6.1,"Central American Sierra Madre with Conifer, Oak, and Mixed Forests",Central American Sierra Madre
159,13,13.6,13.6.2,"Chiapas Highlands with Conifer, Oak, and Mixed Forest",Chiapas Highlands 
160,14,14.1,14.1.1,Coastal Plain with Low Tropical Deciduous Forest,Coastal Plain-Low Tropical Deciduous Forest
161,14,14.1,14.1.2,Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest,Hills & Sierra
162,14,14.2,14.2.1,Northwestern Yucatan Plain with Low Tropical Deciduous Forest,Northwestern Yucatan Plain
163,14,14.3,14.3.1,Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands,Sinaloa Coastal Plain
164,14,14.3,14.3.2,Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest,Sinaloa & Sonora Hills & Canyons
165,14,14.4,14.4.1,Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub,Balsas Depression
166,14,14.4,14.4.2,Chiapas Depression with Low Deciduous and Medium Semi-Deciduous Tropical Forest,Chiapas Depression
167,14,14.4,14.4.3,Valleys and Depressions with Xeric Shrub and Low Tropical Deciduous Forest,
168,14,14.5,14.5.1,Tehuantepec Canyon and Plain with Low Tropical Deciduous Forest and Low Thorn Tropical Forest,Tehuantepec Canyon & Plain
169,14,14.5,14.5.2,South Pacific Hills and Piedmonts with Low Tropical Deciduous Forest,South Pacific Hills & Piedmonts
170,14,14.6,14.6.1,Los Cabos Plains and Hills with Low Tropical Deciduous Forest and Xeric Shrub,Los Cabos Plains & Hills 
171,14,14.6,14.6.2,La Laguna Mountains with Oak and Conifer Forest,La Laguna Mountains 
172,15,15.1,15.1.1,Gulf of Mexico Coastal Plain with Wetlands and High Tropical Rain Forest,Gulf of Mexico Coastal Plain
173,15,15.1,15.1.2,Hills with Medium and High Evergreen Tropical Forest,Hills with Med. & High Evergreen Tropical Forest
174,15,15.2,15.2.1,Plain with Low and Medium Deciduous Tropical Forest,
175,15,15.2,15.2.2,Plain with Medium and High Semi-Evergreen Tropical Forest,
176,15,15.2,15.2.3,Hills with High and Medium Semi-Evergreen Tropical Forest,
177,15,15.3,15.3.1,Los Tuxtlas Sierra with High Evergreen Tropical Forest,Los Tuxtlas Sierra 
178,15,15.4,15.4.1,Southern Florida Coastal Plain,Southern Florida Coastal Plain
179,15,15.5,15.5.1,Nayarit and Sinaloa Plain with Low Thorn Tropical Forest,Nayarit & Sinaloa Plain 
180,15,15.5,15.5.2,Jalisco and Nayarit Hills and Plains with Medium Semi-Evergreen Tropical Forest,Jalisco & Nayarit Hills & Plains
181,15,15.6,15.6.1,Coastal Plain and Hills with High and Medium-High Evergreen Tropical Forest and Wetlands,
